,position,company_name,rating,location,date_listed,salary
317,Operations Analist (M/V): (Business Support Operations),Katoen Natie,"3,2",Kallo,Meer dan 30 dagen geleden,
318,Credit Analyst,Huntsman,"3,9",Everberg,Meer dan 30 dagen geleden,
319,Young starter : Junior IT Analyst,Proximus Group,"3,9",Brussel,Meer dan 30 dagen geleden,
320,Functional Analyst,Devoteam Technology Consulting Belgium,,Zaventem,17 dagen geleden,
321,Business controller,Komma Board,"4,3",Gent,Meer dan 30 dagen geleden,
322,Enterprise Report Analyst,Perrigo Company,"3,7",Nazareth,Meer dan 30 dagen geleden,
323,Business Analyst,Arvesta,"4,7",Leuven,Meer dan 30 dagen geleden,
325,Digital Analyst (Gent),The Reference,,Gent,Meer dan 30 dagen geleden,
326,Senior Business Analyst OTC,Barry Callebaut,"3,5",Lebbeke,Meer dan 30 dagen geleden,
327,Business Analyst IT,Anankei,"4,8",Brussel,20 dagen geleden,
328,BI Analyst,TVH GROUP,"3,7",Waregem,Meer dan 30 dagen geleden,
329,Junior SAP Business Analyst,Barry Callebaut,"3,5",Lebbeke Wieze,Meer dan 30 dagen geleden,
330,Performance Analyst,CANDRIAM,"4,1",Brussel-Hoofdstad,Meer dan 30 dagen geleden,
331,Corporate Governance - Custom Research Analyst,Institutional Shareholder Services Inc,,Bruxelles Watermael-Boitsfort,Meer dan 30 dagen geleden,
332,Business Analyst,KranszWald,,Brussel,Meer dan 30 dagen geleden,
333,Data Engineer,Medialaan,,Vilvoorde,Meer dan 30 dagen geleden,
334,Senior Business Analyst Dermatology,UCB S.A.,"3,8",Anderlecht,Meer dan 30 dagen geleden,
335,FUNCTIONA ANALYST - Energy Industry,Eyetech Solutions,"4,8",Brussel,3 dagen geleden,
336,Support Analyst Traveler Information,Ypto NV,,Anderlecht,Meer dan 30 dagen geleden,
337,"Strategic Account Manager - Travel, Transport & Hospitality",Salesforce,,Zaventem,Meer dan 30 dagen geleden,
338,GDPR & procesverantwoordelijke VAKcentrum Marketing,Colruyt Group,"3,9",Halle,Meer dan 30 dagen geleden,
339,Data & Analytics Consultants – Advisory (Sector focus: Banki...,EY,"4,0",Brussel,Meer dan 30 dagen geleden,
350,International Fleet Purchaser,D'Ieteren Auto,"4,2",Zaventem,Meer dan 30 dagen geleden,
351,TEAM LEADER PRODUCT DESIGN,VPK Packaging Group,,Oudegem,7 dagen geleden,
353,Functional Analyst,AXILEO,,Brussel,Meer dan 30 dagen geleden,
354,Developer RPA/Automatisation,Telenet,"3,8",Mechelen,6 dagen geleden,
355,Job | Functional Analyst Data | Brussel,Belfius,"3,6",Brussel,Meer dan 30 dagen geleden,
357,Technology Analyst (H/F),Mevr. Eline De Cuypere,,Gent,Meer dan 30 dagen geleden,
358,afarax - Functional Analyst,afarax,,Brussel,Meer dan 30 dagen geleden,
359,Functional Analyst,BuSi,,Brussel,Meer dan 30 dagen geleden,
360,First Line Security Event Analyst (FLSEA),Enterpryze Consulting Ltd.,,Bergen,5 dagen geleden,
361,IT Business Analyst - SAP SD/MM - Retail,carrefourb,"3,9",Evere,Meer dan 30 dagen geleden,
362,Insight Finder,UCB S.A.,"3,8",Anderlecht,Meer dan 30 dagen geleden,
363,FUNCTIONAL ANALYST,Bangura Solutions,,Brussel,Meer dan 30 dagen geleden,
364,Strategic Business Advisor,Colruyt Group,"3,9",Halle,Meer dan 30 dagen geleden,
365,Functioneel / Business Analist,Mediaan,,Hasselt België,Meer dan 30 dagen geleden,
