,position,company_name,rating,location,date_listed,salary
293,Cost Accounting Officer,บริษัท โตชิบาคอนซูมเมอร์โปรดัคส์ (ประเทศไทย) จำกัด...,,ปทุมธานี,13 วันที่ผ่านมา,
294,"VP, Head of Platform Solutions & Operation Department",Telenor,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
296,Sr. Business Analyst,Michael Page TH,,กรุงเทพมหานคร,28 วันที่ผ่านมา,
297,Accounting Business Analyst (Consultant),PRTR,,"วัฒนา, กรุงเทพมหานคร",28 วันที่ผ่านมา,
298,Sr. System Analyst/ System Analysis,"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
299,Business Intelligence Developer,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,"15,000 - 30,000 บาทต่อเดือน"
302,ผู้จัดการฝ่ายการเงิน,บริษัท โกลบอล คอนเน็คชั่นส์ จำกัด (มหาชน),,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
305,Senior Analyst (Assistant Manager) – East Economics Team,Monroe Consulting Group,,"วัฒนา, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
306,Business Analyst - Project Manager,Robert Walters,,กรุงเทพมหานคร,19 วันที่ผ่านมา,
307,Cost controller & Financial Analyst (Senior level),"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
308,Financial Analyst (Specialist to Manager Level),Experis Thailand,,"บางรัก, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
309,ERP Support Specialist,"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
310,Marketing assistant manager,"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
311,Credit Risk Analysis,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
312,"Investor Relations ( Finance, investor ) Listed Company",Experis Thailand,,"สวนหลวง, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
313,Marketing Executive,Adecco,3.8,ปทุมธานี,30+ วันที่ผ่านมา,
314,BI Developer *Fresh Graduates are welcomed*,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,"15,000 - 20,000 บาทต่อเดือน"
315,Programmer / Web Programmer,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
316,Senior Analyst (Electrical Engineer),PRTR,,"บางรัก, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
317,System Analyst [Java/C#],"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
320,Controller,Adecco,3.8,สมุทรปราการ,30+ วันที่ผ่านมา,
322,System analyst (Japanese),"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
323,"IT Strategy Manager, Telecom, Southeast Asia",Andersen Steinberg,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
324,Senior Developer -Java Middleware,Greenline Synergy,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
325,Engineer / IT Analyst (Cyber Security Center Analyst),"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
328,Senior Programmer (Chidlom),Reeracoen Thailand,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
329,Deputy Commercial Analysis,PRTR,,"คลองเตย, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
