,position,company_name,rating,location,date_listed,salary
129,Actimize Data Analyst (m/w/d),Red Commerce,,"Zürich, ZH",vor 26 Tagen,
130,Data-Analyst/Scientist 80-100% (m/w),myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
131,Business Analyst,Taleo Consulting,,"Genf, GE",Vor mehr als 30 Tagen,
132,Business Analyst with SQL,EPAM Systems,3.9,"Zürich, ZH",vor 3 Tagen,
133,Reporting Analyst,FIFA,4.5,"Zürich, ZH",vor 7 Tagen,
134,"Senior Portfolio Analyst (m/f/d) at Allianz SE Reinsurance,...",Allianz SE Reinsurance,3.9,"Zürich, ZH",vor 18 Tagen,
135,Business Analyst/Business Data Analyst (pharmaceutical domai...,wega Informatik,,"Basel, BS",Vor mehr als 30 Tagen,
136,Financial Controller,Mylan,,"Zug, ZG",vor 21 Tagen,
137,Data Analyst Bereich Prozessentwicklung (m/w),myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
138,Test Analyst,Capgemini,3.8,"Genf, GE",vor 28 Tagen,
139,CRM Analyst Intern,Philip Morris International,4.3,"Lausanne, VD",Vor mehr als 30 Tagen,
140,Senior Lead & Data Analyst Sales (m/w/d),Sympany,,"Basel, BS",Vor mehr als 30 Tagen,
141,Internship Business Management – Business Analyst/ Project S...,Credit Suisse Campus,,"Zürich, ZH",vor 5 Tagen,
142,Business Analyst,Adroitpeople india pvt ltd,,"Basel, BS",vor 27 Tagen,CHF 80'000 - CHF 100'000 pro Jahr
143,Quality Control Analyst (Temporary Assignement),Bristol-Myers Squibb,4.2,"Boudry, NE",vor 5 Tagen,
144,Security Analyst,Kudelski SA,,"Cheseaux, VD",Vor mehr als 30 Tagen,
145,Business Analyst Syrius,Callista Group AG,,"Zürich, ZH",vor 5 Tagen,
146,Data Management Office - Business Analyst,UBS,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
147,"Graduate Talent Program 2020, Data Analytics Group Internal...",UBS,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
148,Business / Data Analyst in Credit Risk Management Swiss Univ...,Credit Suisse,3.9,"Zürich, ZH",vor 16 Tagen,
149,Daten-Analyst (m/w) 80-100%,myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
150,"Client Reporting, Database & Performance Analyst (m/f)",Michael Page,3.5,"Zürich, ZH",Vor mehr als 30 Tagen,
151,Alternatives Product Specialist (12month FTC),Quintet Switzerland,,"Zürich, ZH",vor 13 Tagen,
152,"Consultant, Technology Solutions",IQVIA,3.8,"Basel, BS",vor 11 Tagen,
153,Quantitative Risk Analyst - Model Validation,UBS,3.8,"Opfikon, ZH",Gerade geschaltet,
154,Senior Digital Analyst / Google Analytics Expert,zweipunkt,,"Basel, BS",vor 6 Tagen,
155,(Senior) Analyst - Pricing & Yield (m/w) 80-100%,Goldbach Group AG,,"Zürich, ZH",Vor mehr als 30 Tagen,
156,Application Support Intmd. Analyst,CITI,3.9,"Zürich, ZH",Vor mehr als 30 Tagen,
157,Category Development Analyst,Nestle,4.1,"La Tour-de-Peilz, VD",Vor mehr als 30 Tagen,
158,CMC Portfolio Analyst in Technical Development,Roche,4.2,"Basel, BS",vor 17 Tagen,
159,Business Analyst For Loan Stress Testing,Credit Suisse,3.9,"Zürich, ZH",vor 8 Tagen,
160,Senior Data-Analyst/in,myitjob,,"Zug, ZG",Vor mehr als 30 Tagen,
161,Bioinformatik-Analyst/-in (60-100%),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
162,Senior ESG Analyst,S&P Global,,"Zürich, ZH",Vor mehr als 30 Tagen,
163,DXT Commodities SA: Power Analyst,ETH get hired,,"Lugano, TI",vor 26 Tagen,
164,Monetization Consultant f/m/d,Scout24 Schweiz AG,,"Zürich, ZH",vor 4 Tagen,
165,Senior Business Analyst,Unisys,3.7,"Bern, BE",vor 20 Tagen,
166,Business Development Analyst - The Defeat-NCD Partnership (I...,UNITAR,4.2,"Genf, GE",vor 9 Tagen,
175,Senior Data Scientist,Kudelski SA,,"Cheseaux, VD",Vor mehr als 30 Tagen,
176,Vertriebscontroller - Business Analyst,Bank Cler AG,,"Zürich, ZH",Vor mehr als 30 Tagen,
177,Teilprojektleiterin/-leiter KISS (Forschung / Business Intel...,Insel Gruppe,4.2,"Bern, BE",vor 12 Tagen,
178,Senior Market Microstructure Analyst,Oryctérope Transalpin Sarl,,"Martigny, VS",vor 10 Tagen,
179,Financial analyst,Fed Finance,,"Genf, GE",Vor mehr als 30 Tagen,
180,Junior Application Specialist / Junior Test Analyst (LSW),Randstad Professionals,3.7,"Zug, ZG",vor 6 Tagen,
181,IT Application Analyst,Meditrina Talent,,"Zürich, ZH",vor 3 Tagen,
182,Data Modeler / Data Architect,EPAM Systems,3.9,"Zürich, ZH",vor 18 Tagen,
183,Senior Business Analyst,Lonza,3.5,"Basel, BS",Vor mehr als 30 Tagen,
184,Wirtschaftsinformatiker / Data Analyst (m/w) 100%,myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
185,IT Consultant / Business Analyst,Knowledge Lab AG,,"Zürich, ZH",Vor mehr als 30 Tagen,
186,Senior Business Development Analyst,Vifor Pharma,3.4,"Glattbrugg, ZH",Vor mehr als 30 Tagen,
187,Business Analyst (m/w),myitjob,,"Zug, ZG",Vor mehr als 30 Tagen,
188,Data Scientist (m/w) 80-100%,myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
189,Computational Biologist for Biomedicine (100%),SIB Swiss Institute of Bioinformatics,4.5,"Basel, BS",Vor mehr als 30 Tagen,
190,"SCM Internship, 12 months (80-100%)",ABB,4.0,"Turgi, AG",Vor mehr als 30 Tagen,
191,Junior Test Analyst,Swisslinx,4.0,"Basel, BS",vor 10 Tagen,
192,Financial Analyst - M/F,Page Personnel,2.6,"Genf, GE",Vor mehr als 30 Tagen,
193,Sr. Investment Analyst (m/f),Michael Page,3.5,"Luzern, LU",Vor mehr als 30 Tagen,
194,Senior ESG Analyst,S&P Global Ratings,,"Zürich, ZH",Vor mehr als 30 Tagen,
195,SAP Business Analyst - Aubonne,Intuitive,,"Aubonne, VD",Vor mehr als 30 Tagen,
196,Business Analyst SAP FSCM 80-100%,Zurich,3.6,"Zürich, ZH",Vor mehr als 30 Tagen,
197,"Data Engineer/Analyst (m/w, 80-100%)",myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
198,BI Business Analyst / Developer (m/f/d),Hays,3.6,"Genf, GE",Vor mehr als 30 Tagen,
199,VBA & SQL Developer / Business Analyst,Huntsman,3.9,"Basel, BS",Vor mehr als 30 Tagen,
200,Business Process Analyst & Application Consultant SAP WM/MM...,Siemens AG,4.0,"Zug, ZG",Vor mehr als 30 Tagen,
201,IS Functional Analyst (80-100%),ABB,4.0,"Baden, AG",Vor mehr als 30 Tagen,
202,Applicationmanager Customer Identity and Access (m/w) 100%,AMAG Group,3.7,"Cham, ZG",Vor mehr als 30 Tagen,
203,Information Technology (IT) Continuous Improvement Lead,Takeda Pharmaceuticals,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
204,Financial Business Analyst,Badenoch + Clark,,"Zürich, ZH",vor 20 Tagen,
205,Requirements Engineer (f/m/d) 100%,Mettler Toledo,3.6,"Zürich, ZH",vor 26 Tagen,
206,Developer PL/SQL AVALOQ,Ayaval AG,,"Zug, ZG",vor 26 Tagen,
207,Business Analyst SAP FSCM 80-100%,Zurich Insurance Group,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
208,EMEA Region Audit Manager,Swiss Re,4.0,Schweiz,vor 4 Tagen,
209,Apttus CPQ Senior Developer - Remote,Pitcher AG,,"Zürich, ZH",vor 12 Tagen,
210,Senior IT Business Analyst (Commercial Systems),Quotient Limited,,"Eysins, VD",vor 6 Tagen,
211,Business Intelligence & CRM Analyst (m/w),myitjob,,"Zug, ZG",Vor mehr als 30 Tagen,
212,Senior Data Architect 80-100%,Zurich Insurance Group,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
213,SW Test Manager / Analyst,myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
214,Senior Data Engineer f/m/d,Scout24 Schweiz AG,,"Flamatt, FR",vor 6 Tagen,
215,Project Manager m/w,JRL-Bossert Consulting,,"Othmarsingen, AG",vor 11 Tagen,
216,TMF Domain Expert- Sponsor dedicated,IQVIA,3.8,"Basel, BS",vor 11 Tagen,
217,Big Data Analyst Palantir,GSI Consultants,,"Zürich, ZH",vor 4 Tagen,
218,Global Digital Media Manager,La Prairie Group,,"Volketswil, ZH",vor 19 Tagen,
219,Cyber Security Analyst,PICTET,2.7,"Genf, GE",Vor mehr als 30 Tagen,
220,Data Analyst (m/w) Teilzeit ab 60% möglich,myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
221,Head of Client File Review,Lombard Odier & Cie,4.2,"Genf, GE",vor 19 Tagen,
222,Fellow - McKinsey Digital,McKinsey & Company,,"Genf, GE",Vor mehr als 30 Tagen,
223,Compliance Risk Management Senior Analyst,CITI,3.9,"Zürich, ZH",Vor mehr als 30 Tagen,
224,Junior Investigation Analyst,Experis,3.6,"Genf, GE",vor 27 Tagen,
233,Digital Biomarker Data Processing Solutions Architect,Roche,4.2,"Basel, BS",Vor mehr als 30 Tagen,
234,Internal Account Manager (h/f/d),Tech Data Corporation,3.6,"Gland, VD",Vor mehr als 30 Tagen,
235,Senior Quantitative Analyst / Coin Economist - 100%,acture capital GmbH,,"Zürich, ZH",Vor mehr als 30 Tagen,
236,Data Analyst in a financial team - NGO (m/f) - 4 months,Michael Page,3.5,"Genf, GE",Vor mehr als 30 Tagen,
237,Business Analyst with Business Objects experience,EPAM Systems,3.9,"Zürich, ZH",Vor mehr als 30 Tagen,
238,SAP Senior Security Analyst,Zimmer Biomet,3.6,"Winterthur, ZH",vor 12 Tagen,
239,BUSINESS ANALYST SCRUM MASTER,Altran,3.2,"Basel, BS",Vor mehr als 30 Tagen,
240,Fullstack Engineer (m/w) 100%,AMAG Group,3.7,"Zürich, ZH",Vor mehr als 30 Tagen,
241,QC Analyst Microbiology,Alten,,"Basel, BS",Vor mehr als 30 Tagen,
242,Intern Risk Analyst - Life Sciences/Chemical Industries,Swiss Re,4.0,"Zürich, ZH",Vor mehr als 30 Tagen,
243,Business Application Analyst Sales Configuration (CPQ/SAP),Bystronic Laser AG,3.0,"Niederoenz, BE",vor 7 Tagen,
244,Paralegal - Data Protection,Experis,3.6,"Zug, ZG",vor 17 Tagen,
245,Business Analyst,Spring Professional,,"Le Vaud, VD",Vor mehr als 30 Tagen,
246,SAP Functional Sr. Analyst - McKinsey Digital,McKinsey & Company,,"Zürich, ZH",vor 5 Tagen,
247,Business Analyst & Engineer SAP BW (w/m/d) Teilzeit/Vollzeit,Helvetia Versicherungen,3.9,"Basel, BS",vor 18 Tagen,
248,Business Analyst,Proclinical,,"Zug, ZG",vor 13 Tagen,
249,Business Analyst Financial Messaging,UBS,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
250,BPE Application Support,Roche,4.2,"Basel, BS",vor 20 Tagen,
251,Intraday Quant Trader,DXT Commodities,,"Lugano, TI",Vor mehr als 30 Tagen,
252,Business Analyst with Big Data experience (in Manno),EPAM Systems,3.9,"Manno, TI",Vor mehr als 30 Tagen,
253,System analyst,Octal,,"Saint Saphorin, VD",Vor mehr als 30 Tagen,
254,Digital Analytics Consultant,Fifty-Five,,"Genf, GE",Vor mehr als 30 Tagen,
255,Investor Relations & Comms Director,Novartis,4.1,"Basel, BS",Vor mehr als 30 Tagen,
256,BI Analyst (m/w),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
257,Functional Business Analyst,SIX,,"Zürich, ZH",Vor mehr als 30 Tagen,
258,Data Warehouse Engineer (m/f/d),Hays,3.6,"Lugano, TI",vor 12 Tagen,
259,"Business Analyst, Project Coordinator and Support",Kelly Services,3.8,"Kaiseraugst, AG",vor 4 Tagen,
260,Senior Architect,Infoplus Technologies,,"Genf, GE",vor 6 Tagen,
261,IT Business Analyst MES (Manufacturing Execution System),Vifor Pharma,3.4,"Glattbrugg, ZH",Vor mehr als 30 Tagen,
262,Desktop Developer Risk Control Department,Leonteq AG,,"Zürich, ZH",Vor mehr als 30 Tagen,
263,BI Analyst / Entwickler (m/w),myitjob,,"Zug, ZG",Vor mehr als 30 Tagen,
264,EMEA Demand Planner - Diagnostic Systems (M/F),BD,3.8,"Eysins, VD",Vor mehr als 30 Tagen,
265,Logistics Coordinator (m/f) - 100% - Temporary contract,Page Personnel,2.6,"Zug, ZG",Vor mehr als 30 Tagen,
266,Supply Chain Financial Analyst (m/f),Page Personnel,2.6,"Wollerau, SZ",Vor mehr als 30 Tagen,
267,IT Software Integrator,UBS,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
268,Product Owner,EPAM Systems,3.9,"Zürich, ZH",vor 13 Tagen,
269,Business Capability Owner - Sales and Distribution,Roche,4.2,"Basel, BS",vor 12 Tagen,
270,Data Preparation Expert (m/f),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
271,CRM Analyst (m/w),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
272,Security Consultant,IBM,3.9,"Zürich, ZH",vor 3 Tagen,
273,SEO Analyst/-in,myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
274,Architect/ Designer/ Technical Lead,UBS,3.8,"Zürich, ZH",vor 11 Tagen,
275,Client Side Tech Lead,CREALOGIX,,"Zürich, ZH",Vor mehr als 30 Tagen,
276,Business Analyst/Project Coordinator (IT Communications),ITech Consult,,"Kaiseraugst, AG",vor 6 Tagen,
277,Global Sourcing Manager - MRO,General Mills - Europe/Australasia,,"Nyon, VD",Vor mehr als 30 Tagen,
278,Web Portal Product Owner (W/M),EPFL,4.3,"Genf, GE",Vor mehr als 30 Tagen,
279,Senior ETL & Informatica Developer & Business Analyst,Credit Suisse,3.9,"Zürich, ZH",Vor mehr als 30 Tagen,
280,"Senior Consultant, Technology Solutions",IQVIA,3.8,"Basel, BS",vor 11 Tagen,
281,Business Intelligence Manager (m/w),myitjob,,"Bern, BE",Vor mehr als 30 Tagen,
305,"Security Engineer (On site, Geneva)",Kudelski SA,,"Cheseaux, VD",Vor mehr als 30 Tagen,
306,Cloud Solution Architect,EPAM Systems,3.9,"Zürich, ZH",vor 10 Tagen,
307,Senior Quantitative Credit Risk Analyst,Oliver James Associates,,"St. Gallen, SG",vor 27 Tagen,
308,Senior Business Analyst (m/w),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
309,Senior Data Architect (m/f) - Cloud-based infrastructure,Michael Page,3.5,"Nyon, VD",Vor mehr als 30 Tagen,
310,SAP BI/BW/BO Spezialist,bruederlinpartner,5.0,"Zürich, ZH",vor 11 Tagen,
311,DWH Engineer (w/m),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
312,Product Owner Analytics Platform,Vf International,,"Mendrisio, TI",Vor mehr als 30 Tagen,
313,Business Analyst/Requirements Engineer (f/m),myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
314,Software Engineer,Partners Group,3.3,"Zug, ZG",Vor mehr als 30 Tagen,
315,Quality Control Analyst,Spring Professional,,"Neuenburg, NE",Vor mehr als 30 Tagen,
