,position,company_name,rating,location,date_listed,salary
386,Information Analyst,South Central Ambulance Service,3.4,Otterbourne,13 days ago,"£31,365 - £37,890 a year"
387,Market Resarch Analyst,Car Finance Giant,,London,30+ days ago,
388,Data Analyst,Kindred Group,3.0,London,30+ days ago,
389,Data Analyst,Wickes,3.4,Watford,30+ days ago,
390,eFX Forwards Quantitative Researcher,Natwest Markets,3.9,London EC2M 4AA,7 days ago,
392,Application Support Analyst (London),Mako,,London,5 days ago,
393,Senior Epic Analyst - Research,Cambridge University Hospitals NHS Foundation Trus...,4.3,Cambridge CB2 0QQ,11 days ago,"£38,890 - £44,503 a year"
394,Information Analyst,CWP,3.5,Ellesmere Port,14 days ago,"£31,365 - £37,890 a year"
395,Agile Business Analyst,"MCR, LLC.",,London,Just posted,
396,Data and Systems Analyst,Recroot,,Barnet,4 days ago,£15.03 an hour
398,Trade Marketing Analyst,RB,3.6,Slough,11 days ago,
399,"Associate Analyst, Performance Reporting",PlayStation,3.7,London,6 days ago,
401,Junior BI Developer,William Hill,2.8,Gibraltar,7 days ago,
402,Data Analyst,HERO®,,London,3 days ago,
403,Principal Information Analyst - Finance and Commissioning,St George's University Hospitals NHS Foundation Tr...,2.8,London SW17 0QT,3 days ago,"£52,643 - £58,558 a year"
406,Junior HR Business Analyst,Unternehmensgruppe Theo Müller,2.3,Market Drayton,2 days ago,
407,Data Analyst,Venturi,5.0,United Kingdom,30+ days ago,"£25,000 - £30,000 a year"
408,Country Risk Analyst - Middle East and North Africa,Ipreo,,London,4 days ago,
409,GIS Analyst,The Scottish Government,4.1,Edinburgh,25 days ago,"£30,652 - £35,110 a year"
420,Insight Analyst,Urban Empire Recruitment,,London,28 days ago,"£35,000 - £45,000 a year"
427,Business Solutions Analyst - Level 5 - DBA (Database Adminis...,Dorset Council,3.8,Dorchester,Just posted,"£31,371 - £36,876 a year"
428,Data Analyst,Harnham,4.6,Edinburgh,30+ days ago,"£32,000 - £44,000 a year"
430,Market Analyst,Mintec Limited,,Slough,8 days ago,
433,"Scientist, Data, Methods and Analytics – Immuno-inflammation...",GSK,4.2,Brentford,30+ days ago,
434,"Data Analyst - London, UK",Aardvark Swift,3.3,London,6 days ago,"£55,000 - £70,000 a year"
435,"Insights Analyst, Conversion Rate Optimisation",PlayStation,3.7,London,Today,
437,Data Analyst - Solar - London,The Green Recruitment Company,,London,30+ days ago,"£24,000 - £26,000 a year"
438,Data Migration Analyst,The Candidate,4.5,Manchester,4 days ago,"£35,000 a year"
440,Procurement Insights Analyst,Matt Burton Associates,,Coventry,24 days ago,"£26,500 - £30,000 a year"
441,Business Administrator Specialist - Safer Custody Analyst,HM Prison & Probation Service,3.4,Yelverton PL20 6RR,3 days ago,"£24,018 - £26,713 a year"
444,Market Analyst,SEGA European Head Office,,Middlesex,3 days ago,
445,Test Analyst - Lloyd's Market Insurance,Cornwaliis Elt,,London,13 days ago,£500 - £575 a day
446,Business Intelligence Internship,Kapeinternships,,London,30+ days ago,
447,Data Analyst,Workshop recruitment,3.8,Portsmouth,2 days ago,"£23,000 - £24,000 a year"
450,BI Data Analyst,Proactive.IT Appointments,,Nottingham,30+ days ago,"£32,000 - £40,000 a year"
457,Procurement Analyst,Astellas,3.8,United Kingdom,30+ days ago,
458,Quantitative Researcher,causaLens,,London W6 7JP,30+ days ago,
460,Business Intelligence Analyst,Outplay Entertainment Ltd,,Dundee,4 days ago,
461,London - Graduate Analyst Programme 2020 - E-Commerce & Digi...,BNP Paribas,3.9,London,30+ days ago,
463,Junior Quant Analyst,Risk Control,,London,30+ days ago,
464,Business Intelligence Analyst,Checkatrade,3.3,Portsmouth PO6,13 days ago,
465,Data Warehouse Analyst,Gampa Technologies,,London,30+ days ago,
467,"Web Analyst - Digital, Data, Trends, CX",Sanderson Recruitment Plc,4.7,South West,4 days ago,£300 - £320 a week
479,Business Support Analyst,Phoenix Group,,Edinburgh,6 days ago,
480,Junio Data Analyst - London,Recruiters,,London,30+ days ago,"£30,000 - £40,000 a year"
484,Business Analyst,Version 1 NI,4.2,Belfast,7 days ago,
485,Data Insight Analyst,Equiniti,3.1,Exeter,30+ days ago,
486,Senior Business Analyst,"UK Government - Department for Environment, Food a...",3.9,Bristol,7 days ago,"£47,078 - £54,456 a year"
487,Data Analyst,JLL,3.8,Norfolk,30+ days ago,
490,Business Analyst,British Red Cross,4.2,London,12 days ago,"£40,000 a year"
491,Business Analyst,4C,,London EC3M 5DJ,26 days ago,
492,Business Intelligence Developer,Human Capital Ventures,4.2,Chelmsford CM1,2 days ago,
493,PMO Analyst,Morson International,3.7,Barrow-In-Furness,5 days ago,£34.90 an hour
497,Specialist Information Analyst,University Hospital Southampton NHS Foundation Tru...,3.7,Southampton SO14 2AA,4 days ago,"£38,890 - £44,503 a year"
500,"Data Analyst (known internally as Assistant Analyst, Portfol...",European Bank for Reconstruction and Development,3.9,London,30+ days ago,
502,Power BI Developer,Westland Horticulture Ltd,,Dungannon,6 days ago,
504,Data Protection Analyst,Close Brothers Group,3.1,London SW19 3RU,30+ days ago,
508,Business Analyst,Aevi International GmbH,,London,18 days ago,
509,Junior Data Analyst x 2 (SQL),Interface Recruitment,,Leeds,30+ days ago,"£22,000 a year"
510,Junior Data Analyst,Church International Ltd.,,London,30+ days ago,"£30,000 a year"
515,Business Data Analyst,Thales Group,4.0,Crawley,10 days ago,
519,Data Service Analyst,ABP,3.6,Birmingham B37 7YB,30+ days ago,
521,Project Analyst,Grayce,,Cambridge,30+ days ago,
523,Big Data Analyst,QinetiQ,3.5,Farnborough,30+ days ago,
525,International Compensation Analyst,Avencia,,London,24 days ago,
526,Data Analyst,Marks Sattin Specialist Recruitment,,Birmingham,4 days ago,"£35,000 - £40,000 a year"
527,Senior BI Analyst,Paymentsense,3.0,London,2 days ago,
531,Data Analyst,Mediaworks,3.7,United Kingdom,30+ days ago,
537,Traffic and Transport Data Analyst,Somerset County Council,3.4,Taunton,6 days ago,"£29,636 - £33,299 a year"
541,"Data and Insight Analyst, Ebury",The Random House Group Limited,4.0,London SW1V 2SA,Just posted,
542,Data Analyst,Linux Recruit,,London,30+ days ago,£325 - £375 a day
545,Data Quality Analyst,Sanderson Recruitment Plc,4.7,Southampton,12 days ago,£13.03 - £14.03 an hour
552,Insight Analyst,Understanding Recruitment,,London,7 days ago,"£30,000 - £39,000 a year"
554,"Data Analyst, Legal",Facebook,4.2,London,30+ days ago,
555,Business Intelligence Manager,"Fiserv, Inc.",3.4,Basildon,2 days ago,
556,Data and Systems Analyst - Barnet,4Social Work and Public Sector Staffing,,Barnet,4 days ago,£15.03 an hour
559,Data Analyst / Contract / 6 Months,GCS Recruitment Specialists Ltd,5.0,Cambridge,30+ days ago,£450 - £500 a day
561,BI Analyst,Lottoland,3.6,Gibraltar,30+ days ago,
562,Financial Product Analyst,Imagine Software,,London,30+ days ago,
563,Data Analyst - Partner,Utility Warehouse,3.7,London,30+ days ago,
564,Business Intelligence Engineer,Amazon EU SARL (UK Branch),3.6,London,1 day ago,
565,Master Data & Business Support Analyst,Dorel Sports,,Poole,30+ days ago,
566,Junior Data Analyst,Trust In Soda,,London,30+ days ago,"£30,000 - £32,000 a year"
567,"Principle Information Analyst, Quality Improvement",NHS Scotland,3.6,Stirling FK9 4SW,10 days ago,"£39,300 - £46,006 a year"
568,Senior Data Analyst [Remote Opportunity],Austin Fraser,4.6,Oxford,4 days ago,"£45,000 - £60,000 a year"
569,Senior Information Analyst NHS AfC: Band 6,Nottingham University Hospitals NHS Trust,4.0,Nottingham,6 days ago,"£31,365 - £37,890 a year"
572,"Data Science Consultant, Data Analyst (London)",GreySpark Partners,,London,30+ days ago,
574,Automotive Data Analyst,Perfect Placement UK Ltd,5.0,Chelmsford,12 days ago,"£25,000 a year"
575,Data & Analytics Engineer,Hydrogen Group,3.3,Cambridge,12 days ago,£600 a day
576,Reporting Data Analyst (Excel/VBA/SQL),Taylor James Resourcing,,London,30+ days ago,
579,HRIS Analyst,Rothschild & Co,4.2,London,30+ days ago,
580,Security Analyst/Associate Level 1,Cygilant,,Belfast BT2 8BA,25 days ago,
581,Violence Reduction Unit Performance Analyst,Sussex Police,3.7,Lewes,10 days ago,"£30,000 - £39,999 a year"
582,BI Analyst,Tankard Recruitment,,Leeds,25 days ago,"£25,409 - £30,000 a year"
584,Product Reporting Analyst,Columbia Threadneedle Investments,4.0,London,7 days ago,
585,Murex Front Office Business Analyst (London),Upskills Consultancy Services,,United Kingdom,2 days ago,
586,Interim NHS Business Analyst - Medicine,Zenith Resourcing Ltd,,Northampton,6 days ago,£250 a day
587,BI Analyst,KBR,4.1,Surrey,30+ days ago,
588,DATA ANALYST,Talent For Marketing,,London,30+ days ago,
589,Business Analyst,Taunton and Somerset NHS Foundation Trust,3.8,Somerset,2 days ago,"£31,365 - £37,890 a year"
591,Data & Research Analyst,Inspiring Interns,4.5,London,30+ days ago,"£25,000 a year"
593,Consulting Analyst,DT Associates Research and Consulting Services,,London W2 1AY,30+ days ago,
594,DATA ANALYST,DataSpartan Consulting,,London EC2V 7RS,30+ days ago,
595,Health Economist Value Analyst,Adelphi Group,,North West,30+ days ago,
596,Collections Strategy Analyst,Hydrogen Group,3.3,United Kingdom,30+ days ago,
597,Brand Research Analyst - German speaker,CSC (Corporation Service Company),,Cambridge,9 days ago,
599,Data Analyst,Dynamic Signal,,Belfast,30+ days ago,
600,Research Analyst,WorldRemit,3.1,London,25 days ago,
601,Reporting Analyst,Ampersand Consulting,3.7,Bristol,30+ days ago,"£20,000 - £25,000 a year"
611,Data Analyst,National Magazine Co,3.6,London,30+ days ago,
612,"Equity Research Analyst - Building, Construction and Housebu...","Jefferies & Company, Inc.",3.8,London,16 days ago,
613,"Performance Analyst, Associate 2 - Edinburgh",State Street,3.5,Edinburgh,30+ days ago,
615,Insight Analyst,SG Gaming,3.5,Chiswick,30+ days ago,
617,Bioinformatics Data Analyst,Paramount Recruitment Ltd,,Cambridge,9 days ago,
619,People Insights Analyst,Ocado Group,3.0,Hatfield,30+ days ago,
620,Data Analyst,Professional Technical Recruitment,,Peterborough,30+ days ago,"£25,000 - £30,000 a year"
622,Invoicing Operator/Data Analyst,A & S Recruitment,4.2,Felixstowe,30+ days ago,"£24,000 a year"
624,QC Analyst,SGS,3.6,Glasgow G81 2LG,30+ days ago,"£20,000 - £25,000 a year"
626,Business Intelligence Administrator,Müller,2.3,Market Drayton,2 days ago,
627,CRM Business Analyst,AQA,4.0,Manchester,13 days ago,"£35,556 - £41,480 a year"
628,Head of Group Data & Analytics,boohoo.com,2.7,Manchester,18 days ago,
631,Junior Risk Analyst - Capital and Impairment,OneSavings Bank PLC,,London W1T 3EU,30+ days ago,"£30,000 - £37,000 a year"
633,"Business Analyst (BDD, CRM, LMS, Agile, Salesforce)",Ampersand Consulting,3.7,London,30+ days ago,£400 - £420 a day
634,Data Analyst – £35k (12 months Fixed Term Contract),Dome Recruitment,,Buckinghamshire,30+ days ago,"£35,000 a year"
635,Service Desk Analyst,Utility Warehouse,3.7,London,19 days ago,
636,Research Associate (Quantitative Data Analysis: Active Trave...,University of Westminster,4.4,London,23 days ago,"£20,425 - £23,225 a year"
638,Quantitative Researcher,TradeLink LLC,,London EC2M 7EB,30+ days ago,
639,"Warehouse Reporting Business Analyst (DataWarehouse, Reporti...",Ampersand Consulting,3.7,London,30+ days ago,£400 - £450 a day
642,Data Loss Prevention Analyst,Bupa,3.3,Salford Quays,30+ days ago,
643,Quantitative Analyst,G-Research,3.7,London,30+ days ago,
644,Junior/Mid-Level Data Analyst or Scientist,Heat Recruitment,3.8,Bristol,30+ days ago,"£25,000 - £40,000 a year"
646,Investment Data Analyst,Standard Life Aberdeen,4.4,Edinburgh,17 days ago,
647,"Junior Data Analyst, Hersham, SQL, Power BI",Langley James IT Recruitment,,Surrey,30+ days ago,"£25,000 a year"
648,"Data Analyst, Retail",CBRE,3.5,London,30+ days ago,
649,Level 3 Application Support Analyst,Anaplan,,London,7 days ago,
650,BI Developer and Analyst,Holland & Barrett,2.8,Nuneaton CV10 7RH,30+ days ago,
651,Business Analyst,LendingMetrics,,Fareham PO15 5TU,4 days ago,
654,Recovery Analyst,BT,3.8,Bristol,25 days ago,
659,Data Analyst – £32k + benefits,Dome Recruitment,,Buckinghamshire,30+ days ago,"£32,000 a year"
