,position,company_name,rating,location,salary,country,days,salary_num,date
1248,Quantitative Researcher,Mako,,London,nan,England,30.0,,2020-05-17
1249,Digital Analyst,Sainsburys,,Milton Keynes,nan,England,3.0,,2020-06-13
1250,Information Risk Management Analyst,NFU Mutual,,Stratford-upon-Avon,£30000 - £35000 a year,England,6.0,33300.0,2020-06-10
1251,Business Analyst,Colmore PS Ltd,,Birmingham,nan,England,28.0,,2020-05-19
1252,Head of Business Intelligence,Bupa Dental Care,,Bristol BS16 1GW,nan,England,6.0,,2020-06-10
1253,Business Intelligence Engineer,Wagestream,,London,nan,England,7.0,,2020-06-09
1254,Data Lineage Strategy and Design Analyst,UBS,,London,nan,England,30.0,,2020-05-17
1255,Research Analyst,Pharmerit International,,Oxford,nan,England,30.0,,2020-05-17
1256,Data Integration Analyst,Venturi,,Hertfordshire,£45000 - £55000 a year,England,30.0,49950.00000000001,2020-05-17
1257,Supply Chain Analyst,Ocado Group,,Hatfield,nan,England,30.0,,2020-05-17
1258,Senior Data Analyst,Oscar Technology,,London,£60000 - £65000 a year,England,3.0,66600.0,2020-06-13
1259,Business Data Analyst - Collibra,McGregor Boyall,,London,£550 - £650 a day,England,30.0,159340.5,2020-05-17
1260,Business Analyst,Diligenta,,Peterborough,£36000 a year,England,30.0,39960.0,2020-05-17
1261,Business Intelligence Support Analyst,One Care (BNSSG) Ltd,,Bristol,nan,England,30.0,,2020-05-17
1262,Reporting and Pricing Analyst - Investment Risk and Performa...,Link Asset Services,,London,nan,England,6.0,,2020-06-10
1263,Business Analyst,CITI,,Belfast,nan,England,19.0,,2020-05-28
1264,Marketing Data Analyst,1st Choice Jobs,,Folkestone,£35000 a year,England,30.0,38850.0,2020-05-17
1265,Global Business Coordination Analyst,Aldi,,Tamworth B77 5PN,£46405 a year,England,30.0,51509.55,2020-05-17
1266,Marketing Effectiveness Analyst,GVC Group,,London SW1E 6SQ,nan,England,30.0,,2020-05-17
1267,Data Engineering Analyst,Next Link,,London,nan,England,19.0,,2020-05-28
1268,Principal IT Risk Analyst,BNY Mellon,,Manchester,nan,England,3.0,,2020-06-13
1269,Research Analyst,Aspire,,London,£60000 - £70000 a year,England,2.0,66600.0,2020-06-14
1270,Business Analyst,Expleo,,Belfast BT3 9DT,nan,England,30.0,,2020-05-17
1271,"Trade and Transaction Reporting, SFTR - Analyst",Morgan Stanley,,Glasgow,nan,England,30.0,,2020-05-17
1272,Data Analyst - Reinsurance Market Math//Numerical grad,Taylor James Resourcing,,London,£25000 - £28000 a year,England,30.0,27750.000000000004,2020-05-17
1273,Marketing Insight Analyst,GVC Group,,Gibraltar,nan,England,30.0,,2020-05-17
1274,CIB/WPO: Global Payments Strategy: Business Analyst - Associ...,"JPMorgan Chase Bank, N.A.",,Bournemouth,nan,England,3.0,,2020-06-13
1275,Business Intelligence Analyst,Hitachi Rail Limited,,Doncaster,nan,England,30.0,,2020-05-17
1276,Technical Architect - Data Analytics,Jisc,,United Kingdom,£42000 a year,England,30.0,46620.00000000001,2020-05-17
1277,Business Analyst - MiFID/EMIR,Kite Group,,London,nan,England,30.0,,2020-05-17
1278,Data Analyst - Global Project,GCS Recruitment Specialists Ltd,,London,£350 - £360 a day,England,30.0,101398.50000000001,2020-05-17
1279,Global CDO ORD Analyst,PwC,,London,nan,England,30.0,,2020-05-17
1280,Farm Business Analyst,Promar International,,Oxford,nan,England,19.0,,2020-05-28
1281,Business Analyst,Verint Systems Inc.,,Glasgow,nan,England,4.0,,2020-06-12
1282,Investment Data Analyst (VBA / SQL),Taylor James Resourcing,,London,£40000 - £55000 a year,England,30.0,44400.00000000001,2020-05-17
1283,Business Analyst,Deltatre,,London,nan,England,30.0,,2020-05-17
1284,Information Analyst (Nursing Workforce and Professional Stan...,Hywel Dda University Health Board,,Carmarthen SA31 2AF,£24907 - £30615 a year,England,5.0,27646.770000000004,2020-06-11
1285,Information Analyst (9 months FTC),SYNLAB,,London,£30000 - £54671 a year,England,30.0,33300.0,2020-05-17
1286,Pricing Analyst,The Royal Society of Chemistry,,Cambridge CB4 0WF,nan,England,19.0,,2020-05-28
1287,Genomics Data & Analysis Engineer - SEUIT,AstraZeneca,,Cambridge CB2 8PA,nan,England,30.0,,2020-05-17
1288,Senior BI Analyst,Blenheim Chalcot Group,,London,nan,England,30.0,,2020-05-17
1289,Data Analyst Apprenticeship Level 4,QA Apprenticeships,,Wiltshire,£423 a week,England,30.0,24415.56,2020-05-17
1290,Treasury Analyst JV and Reporting,SSE plc,,Perthshire,nan,England,2.0,,2020-06-14
